author,poem,words,characters
W. SHAKESPEARE.,Tuwhoo!,1,7
W. SHAKESPEARE.,Tuwhoo!,1,7
J. DRYDEN.,1687.,1,5
J. MILTON.,Lycidas,1,7
R. HERRICK.,I,1,2
R. HERRICK.,Away,1,4
SIR W. SCOTT.,Chorus.,1,7
P.B. SHELLEY.,Star-inwrought!,1,15
T. MOORE.,"rolls,",1,6
T. CAMPBELL.,Elsinore!,1,9
W. WORDSWORTH.,1802.,1,5
W. WORDSWORTH.,1803.,1,5
W. WORDSWORTH.,1803.,1,5
WILLIAM DRUMMOND OF HAWTHORNDEN.,"Phoebus, arise!",2,15
W. SHAKESPEARE.,No enemy,2,8
W. SHAKESPEARE.,No enemy,2,8
ANON.,Affection's ground,2,18
W. SHAKESPEARE.,Bring again—,2,12
W. SHAKESPEARE.,"Reply, reply.",2,13
T. DEKKER.,O punishment!,2,13
T. DEKKER.,O punishment!,2,13
J. MILTON.,THE HYMN.,2,9
J. MILTON.,Divinely-warbled voice,2,22
J. DRYDEN.,Grand Chorus:,2,13
R. CRASHAW.,Sydneian showers,2,16
R. CRASHAW.,Whate'er delight,2,16
COLONEL LOVELACE.,"Our after-fate,",2,15
R. HERRICK.,"Stay, stay,",2,11
R. HERRICK.,Has run,2,7
R. HERRICK.,We die,2,6
J. MILTON.,Singing everlastingly:,2,22
A. POPE.,With meditation.,2,16
T. GRAY.,Pindaric Ode.,2,13
R. BURNS.,An' fellow-mortal!,2,18
T. GRAY.,THE EPITAPH.,2,12
W. COWPER.,My Mary!,2,8
W. COWPER.,My Mary!,2,8
W. COWPER.,My Mary!,2,8
W. COWPER.,My Mary!,2,8
W. COWPER.,My Mary!,2,8
W. COWPER.,My Mary!,2,8
W. COWPER.,My Mary!,2,8
W. COWPER.,My Mary!,2,8
W. COWPER.,My Mary!,2,8
W. COWPER.,My Mary!,2,8
W. COWPER.,My Mary!,2,8
W. COWPER.,My Mary!,2,8
W. COWPER.,My Mary!,2,8
P.B. SHELLEY.,"Come, long-sought!",2,18
LORD BYRON.,Half broken-hearted,2,19
SIR W. SCOTT.,Eleu loro,2,9
SIR W. SCOTT.,Eleu loro,2,9
SIR W. SCOTT.,Eleu loro,2,9
SIR W. SCOTT.,Eleu loro,2,9
SIR W. SCOTT.,My Love!,2,8
SIR W. SCOTT.,My Love!,2,8
T. MOORE.,I fly,2,5
T. MOORE.,thine eye;,2,10
T. MOORE.,of air,2,6
T. MOORE.,me there,2,8
T. MOORE.,the ear;,2,8
T. MOORE.,of Souls,2,8
T. CAMPBELL.,Died away.,2,10
P.B. SHELLEY.,Everything almost,2,17
T. HOOD.,"Rashly importunate,",2,19
T. HOOD.,"Sisterly, brotherly,",2,20
T. HOOD.,"Fatherly, motherly",2,18
T. HOOD.,Seeming estranged.,2,18
T. HOOD.,Dissolute Man!,2,14
T. HOOD.,"Decently, kindly,",2,17
T. HOOD.,Dreadfully staring,2,18
T. HOOD.,"Perishing gloomily,",2,19
T. HOOD.,"Cold inhumanity,",2,16
T. HOOD.,"Burning insanity,",2,17
P.B. SHELLEY.,Scattering unbeholden,2,21
P.B. SHELLEY.,"Rain-awaken'd flowers,",2,22
P.B. SHELLEY.,Chorus hymeneal,2,15
W. WORDSWORTH.,Thy appellations.,2,17
W. WORDSWORTH.,"September, 1814.",2,16
P.B. SHELLEY.,Wandering companionless,2,23
W. WORDSWORTH.,Unworthily admires.,2,19
P.B. SHELLEY.,Interpenetrated lie,2,19
W. WORDSWORTH.,A Conversation.,2,15
T. CAMPBELL.,Indemnifying fleetness;,2,23
W. WORDSWORTH.,Shepherd boy!,2,13
WILLIAM DRUMMOND OF HAWTHORNDEN.,And emperor-like decore,3,23
W. SHAKESPEARE.,Cannot live together:,3,21
ANON.,"Against thy strength,",3,21
ANON.,"Distance, and length:",3,21
THE SHEPHERD TONIE.,Hey nonny nonny!,3,16
THE SHEPHERD TONIE.,When fond imagination,3,21
THE SHEPHERD TONIE.,Hey nonny nonny!,3,16
SIR T. WYAT.,Forget not yet!,3,15
SIR T. WYAT.,Forget not yet!,3,15
SIR T. WYAT.,Forget not yet!,3,15
SIR T. WYAT.,Forget not yet!,3,15
SIR T. WYAT.,Forget not this!,3,16
SIR T. WYAT.,Alas! thy cruelty!,3,18
W. SHAKESPEARE.,Seal'd in vain!,3,15
W. SHAKESPEARE.,As man's ingratitude;,3,21
W. SHAKESPEARE.,As benefits forgot:,3,19
W. SHAKESPEARE.,O prepare it!,3,13
W. SHAKESPEARE.,Did share it.,3,13
W. SHAKESPEARE.,To weep there.,3,14
W. SHAKESPEARE.,"Ding, dong, Bell.",3,17
W. SHAKESPEARE.,"—Ding, dong, bell.",3,18
E. SPENSER.,"To ages following,",3,18
T. DEKKER.,O sweet content!,3,16
T. DEKKER.,O sweet content!,3,16
LORD BACON,To dandle fools:,3,16
LORD BACON,Of savage men:,3,14
LORD BACON,Is a disease:,3,13
LORD BACON,Peril and toil:,3,15
J. MILTON.,"His ready harbinger,",3,20
J. MILTON.,The helméd Cherubim,3,19
J. MILTON.,"And sworded Seraphim,",3,21
J. MILTON.,His constellations set,3,22
